"","Year","County","PRCP","Program","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"1",2000,"BINGHAM",21.96,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",375,NA
"2",2000,"JEFFERSON",7.27,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",345,NA
"3",2000,"MADISON",13.88,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",315,NA
"4",2000,"TETON",56.45,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",215,NA
"5",2001,"BINGHAM",15.72,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",332,NA
"6",2001,"JEFFERSON",5.83,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",339,NA
"7",2001,"MADISON",6.53,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",311,NA
"8",2001,"TETON",42.82,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",225,NA
"9",2002,"BINGHAM",18.34,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",335,NA
"10",2002,"JEFFERSON",5.85,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",355,NA
"11",2002,"MADISON",8.7,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",330,NA
"12",2002,"TETON",53.48,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",250,NA
"13",2003,"BINGHAM",21.64,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",325,NA
"14",2003,"JEFFERSON",6.47,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",333,NA
"15",2003,"MADISON",15.46,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",310,NA
"16",2003,"TETON",43.88,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",233,NA
"17",2004,"BINGHAM",29.25,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",370,NA
"18",2004,"JEFFERSON",8.81,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",380,NA
"19",2004,"MADISON",22.88,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",320,NA
"20",2004,"TETON",55.11,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",247,NA
"21",2005,"BINGHAM",33.62,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",346,NA
"22",2005,"JEFFERSON",8.54,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",385,NA
"23",2005,"MADISON",21,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",319,NA
"24",2005,"TETON",63.4,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",235,NA
"25",2006,"BINGHAM",28.73,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"011",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",362,NA
"26",2006,"JEFFERSON",7.23,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"051",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",389,NA
"27",2006,"MADISON",22.31,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"065",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",337,NA
"28",2006,"TETON",52.5,"SURVEY","YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"081",NA,NA,"00000000",NA,"POTATOES","POTATOES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",257,NA
