STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00103964,"HAMER 4 NW, ID US",1/1/2000,,,0,,5,24,6,19
USC00103964,"HAMER 4 NW, ID US",1/2/2000,,,0,,5,20,10,19
USC00103964,"HAMER 4 NW, ID US",1/3/2000,,,0,0,5,21,-10,18
USC00103964,"HAMER 4 NW, ID US",1/4/2000,,,0.13,1,6,25,6,24
USC00103964,"HAMER 4 NW, ID US",1/5/2000,,,0,0,6,24,5,15
USC00103964,"HAMER 4 NW, ID US",1/6/2000,,,0,0,6,15,-5,14
USC00103964,"HAMER 4 NW, ID US",1/7/2000,,,0,0,6,23,6,22
USC00103964,"HAMER 4 NW, ID US",1/8/2000,,,0.07,1,7,23,4,21
USC00103964,"HAMER 4 NW, ID US",1/9/2000,,,0,0,7,22,8,18
USC00103964,"HAMER 4 NW, ID US",1/10/2000,,,0,0,7,30,11,28
USC00103964,"HAMER 4 NW, ID US",1/11/2000,,,0.01,0,6,38,25,33
USC00103964,"HAMER 4 NW, ID US",1/12/2000,,,0,0,6,36,17,23
USC00103964,"HAMER 4 NW, ID US",1/13/2000,,,0,0,6,31,11,28
USC00103964,"HAMER 4 NW, ID US",1/14/2000,,,0,0,5,38,9,31
USC00103964,"HAMER 4 NW, ID US",1/15/2000,,,0,0,,41,16,32
USC00103964,"HAMER 4 NW, ID US",1/16/2000,,,0.05,0.5,5,42,30,37
USC00103964,"HAMER 4 NW, ID US",1/17/2000,,,0,0,,40,8,26
USC00103964,"HAMER 4 NW, ID US",1/18/2000,,,0,0,,31,3,30
USC00103964,"HAMER 4 NW, ID US",1/19/2000,,,0.06,0.5,5,32,28,30
USC00103964,"HAMER 4 NW, ID US",1/20/2000,,,0,0,4,38,24,36
USC00103964,"HAMER 4 NW, ID US",1/21/2000,,,0,0,4,36,25,32
USC00103964,"HAMER 4 NW, ID US",1/22/2000,,,0,0,4,32,22,25
USC00103964,"HAMER 4 NW, ID US",1/23/2000,,,0,0,4,27,17,26
USC00103964,"HAMER 4 NW, ID US",1/24/2000,,,0.06,0.5,5,33,23,33
USC00103964,"HAMER 4 NW, ID US",1/25/2000,,,0.2,2,7,35,23,34
USC00103964,"HAMER 4 NW, ID US",1/26/2000,,,0,0,7,35,26,30
USC00103964,"HAMER 4 NW, ID US",1/27/2000,,,0.05,1,7,30,-3,19
USC00103964,"HAMER 4 NW, ID US",1/28/2000,,,0,0,7,20,2,20
USC00103964,"HAMER 4 NW, ID US",1/29/2000,,,0,0,7,22,5,19
USC00103964,"HAMER 4 NW, ID US",1/30/2000,,,0,0,7,21,-8,20
USC00103964,"HAMER 4 NW, ID US",1/31/2000,,,0,0,7,28,-6,25
USC00103964,"HAMER 4 NW, ID US",2/1/2000,,,0,0,7,32,4,27
USC00103964,"HAMER 4 NW, ID US",2/2/2000,,,0.05,1,8,40,27,35
USC00103964,"HAMER 4 NW, ID US",2/3/2000,,,0,0,8,42,9,36
USC00103964,"HAMER 4 NW, ID US",2/4/2000,,,0,0,8,38,14,36
USC00103964,"HAMER 4 NW, ID US",2/5/2000,,,0.05,0.5,8,36,24,30
USC00103964,"HAMER 4 NW, ID US",2/6/2000,,,0,0,8,42,10,38
USC00103964,"HAMER 4 NW, ID US",2/7/2000,,,0,0,8,38,10,36
USC00103964,"HAMER 4 NW, ID US",2/8/2000,,,0,0,8,40,16,38
USC00103964,"HAMER 4 NW, ID US",2/9/2000,,,0,0,8,40,26,39
USC00103964,"HAMER 4 NW, ID US",2/10/2000,,,0,0,7,39,25,35
USC00103964,"HAMER 4 NW, ID US",2/11/2000,,,0,0,7,40,22,36
USC00103964,"HAMER 4 NW, ID US",2/12/2000,,,0,0,7,38,32,34
USC00103964,"HAMER 4 NW, ID US",2/13/2000,,,0.05,0.5,8,35,25,31
USC00103964,"HAMER 4 NW, ID US",2/14/2000,,,0.21,0.5,8,44,30,38
USC00103964,"HAMER 4 NW, ID US",2/15/2000,,,0,0,7,42,27,40
USC00103964,"HAMER 4 NW, ID US",2/16/2000,,,0,0,7,41,15,36
USC00103964,"HAMER 4 NW, ID US",2/17/2000,,,0,0,7,43,24,38
USC00103964,"HAMER 4 NW, ID US",2/18/2000,,,0,0,6,38,9,30
USC00103964,"HAMER 4 NW, ID US",2/19/2000,,,0,0,6,36,7,35
USC00103964,"HAMER 4 NW, ID US",2/20/2000,,,0,0,5,42,8,38
USC00103964,"HAMER 4 NW, ID US",2/21/2000,,,0,0,4,49,27,33
USC00103964,"HAMER 4 NW, ID US",2/22/2000,,,0.08,0,3,48,33,45
USC00103964,"HAMER 4 NW, ID US",2/23/2000,,,0,0,2,46,26,40
USC00103964,"HAMER 4 NW, ID US",2/24/2000,,,0.21,,3,41,31,31
USC00103964,"HAMER 4 NW, ID US",2/25/2000,,,0.08,0,3,39,25,23
USC00103964,"HAMER 4 NW, ID US",2/26/2000,,,0.04,0,2,30,8,30
USC00103964,"HAMER 4 NW, ID US",2/27/2000,,,0,0,2,46,29,43
USC00103964,"HAMER 4 NW, ID US",2/28/2000,,,0,0,0,49,33,43
USC00103964,"HAMER 4 NW, ID US",2/29/2000,,,0,0,0,45,26,43
USC00103964,"HAMER 4 NW, ID US",3/1/2000,,,0,0,0,44,26,43
USC00103964,"HAMER 4 NW, ID US",3/2/2000,,,0,0,0,43,26,38
USC00103964,"HAMER 4 NW, ID US",3/3/2000,,,0,0,0,49,18,48
USC00103964,"HAMER 4 NW, ID US",3/4/2000,,,0,0,0,55,19,39
