STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/1/2000,,,,,0,0,,29,9,16
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/2/2000,,,,,0,0,,22,11,13
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/3/2000,,,,,0.03,,,15,8,12
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/4/2000,,,,,0.11,,0,19,1,19
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/5/2000,,,,,0.45,,0,26,1,11
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/6/2000,,,,,0,0,,22,-5,1
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/7/2000,,,,,0,0,,18,-4,9
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/8/2000,,,,,,,0,22,8,20
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/9/2000,,,,,0.39,,1,23,9,19
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/10/2000,,,,,0.5,,0,26,12,13
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/11/2000,,,,,0.77,,0,31,13,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/12/2000,,,,,1.6,,,31,16,21
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/13/2000,,,,,0,0,,31,14,22
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/14/2000,,,,,0,0,,38,22,32
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/15/2000,,,,,0,0,,44,28,39
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/16/2000,,,,,0,0,,40,31,37
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/17/2000,,,,,0,0,,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/18/2000,,,,,0,0,,46,7,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/19/2000,,,,,0.36,0,0,40,20,21
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/20/2000,,,,,0,0,,33,21,29
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/21/2000,,,,,0,0,0,38,28,29
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/22/2000,,,,,0,0,,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/23/2000,,,,,0,0,,36,14,21
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/24/2000,,,,,0.24,,0,25,15,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/25/2000,,,,,0,0,,32,21,28
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/26/2000,,,,,0,0,,35,26,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/27/2000,,,,,0.4,0,0,33,4,5
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/28/2000,,,,,0,0,,20,1,5
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/29/2000,,,,,0,0,,18,-14,-8
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/30/2000,,,,,0,0,,18,-11,-2
USC00109065,"TETONIA EXPERIMENT STATION, ID US",1/31/2000,,,,,0,0,,20,-6,2
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/1/2000,,,,,0,0,0,22,3,10
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/2/2000,,,,,0,0,0,30,9,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/3/2000,,,,,0,0,0,36,14,16
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/4/2000,,,,,0,0,0,40,8,21
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/5/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/6/2000,,,,,0,0,0,42,16,29
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/7/2000,,,,,0,0,0,31,16,19
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/8/2000,,,,,0,0,0,42,15,28
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/9/2000,,,,,0.16,0,0,43,15,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/10/2000,,,,,0,0,0,38,24,24
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/11/2000,,,,,0,0,0,37,15,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/12/2000,,,,,0.56,,1,36,24,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/13/2000,,,,,0.15,0,0,37,24,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/14/2000,,,,,0.14,0,0,34,24,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/15/2000,,,,,0,0,,40,25,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/16/2000,,,,,0,0,,32,13,18
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/17/2000,,,,,0,0,0,36,17,22
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/18/2000,,,,,0,0,0,33,6,18
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/19/2000,,,,,0,0,0,29,5,21
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/20/2000,,,,,0,0,0,42,-2,40
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/21/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/22/2000,,,,,0,0,0,44,25,32
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/23/2000,,,,,0,0,0,41,21,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/24/2000,,,,,0,0,0,39,25,27
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/25/2000,,,,,1.06,,,30,20,21
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/26/2000,,,,,0,0,,29,5,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/27/2000,,,,,0,0,0,46,25,32
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/28/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",2/29/2000,,,,,0,0,0,46,23,27
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/1/2000,,,,,0,0,0,40,25,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/2/2000,,,,,,,0,38,25,27
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/3/2000,,,,,0,0,0,36,13,18
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/4/2000,,,,,0,0,0,44,14,38
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/5/2000,,,,,0,0,0,49,24,43
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/6/2000,,,,,0.3,0,0,45,24,27
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/7/2000,,,,,0,0,0,45,26,28
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/8/2000,,,,,0,0,0,39,12,15
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/9/2000,,,,,0,0,0,34,12,24
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/10/2000,,,,,0,0,0,35,21,23
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/11/2000,,,,,0,0,0,33,16,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/12/2000,,,,,0,0,0,38,9,28
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/13/2000,,,,,0,0,0,29,19,26
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/14/2000,,,,,0.02,0,0,41,24,30
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/15/2000,,,,,0.25,0,0,42,23,24
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/16/2000,,,,,0,0,0,38,11,18
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/17/2000,,,,,0.36,0,0,38,24,25
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/18/2000,,,,,0,0,0,33,9,27
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/19/2000,,,,,0,0,0,36,25,33
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/20/2000,,,,,0,0,0,34,3,9
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/21/2000,,,,,0.28,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/22/2000,,,,,0,0,0,33,-1,6
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/23/2000,,,,,0,0,0,43,13,24
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/24/2000,,,,,0,0,0,,,
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/25/2000,,,,,0,0,0,43,10,37
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/26/2000,,,,,0,0,0,50,30,48
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/27/2000,,,,,0,0,0,49,25,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/28/2000,,,,,0,0,0,52,30,35
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/29/2000,,,,,0,0,0,42,20,22
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/30/2000,,,,,0,0,0,37,9,20
USC00109065,"TETONIA EXPERIMENT STATION, ID US",3/31/2000,,,,,0,0,0,38,13,21
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/1/2000,,,,,0,0,0,40,16,39
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/2/2000,,,,,0,0,0,42,29,30
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/3/2000,,,,,0,0,0,42,12,12
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/4/2000,,,,,0,0,0,43,12,29
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/5/2000,,,,,0,0,0,56,27,38
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/6/2000,,,,,0,0,0,49,35,38
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/7/2000,,,,,0,0,0,44,21,23
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/8/2000,,,,,0,0,0,42,18,27
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/9/2000,,,,,0,0,0,57,29,47
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/10/2000,,,,,0.09,0,0,50,29,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/11/2000,,,,,0,0,0,55,28,33
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/12/2000,,,,,0,0,0,59,33,41
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/13/2000,,,,,0,0,0,66,39,41
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/14/2000,,,,,0.38,0,0,66,32,35
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/15/2000,,,,,0,0,0,55,31,51
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/16/2000,,,,,0,0,0,55,30,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/17/2000,,,,,0.03,0,0,55,30,38
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/18/2000,,,,,0,0,0,54,35,43
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/19/2000,,,,,0.18,0,0,57,33,33
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/20/2000,,,,,0.05,0,0,53,33,39
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/21/2000,,,,,0,0,0,55,30,34
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/22/2000,,,,,0,0,0,67,34,46
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/23/2000,,,,,0.07,0,0,62,38,41
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/24/2000,,,,,0.02,0,0,52,29,31
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/25/2000,,,,,0.05,0,0,52,28,35
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/26/2000,,,,,0.15,0,0,55,35,39
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/27/2000,,,,,0,0,0,59,30,37
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/28/2000,,,,,0,0,0,72,37,56
USC00109065,"TETONIA EXPERIMENT STATION, ID US",4/29/2000,,,,,0,0,0,70,31,32
