STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/1/2000,,,0,,,18,22,13,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/2/2000,,,0.01,,,21,23,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/3/2000,,,0,,,13,22,3,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/4/2000,,,0.05,,,25,30,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/5/2000,,,0,,,19,25,13,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/6/2000,,,0,,,14,21,7,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/7/2000,,,0,,,15,22,7,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/8/2000,,,0.14,,,21,24,18,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/9/2000,,,0,,,24,31,16,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/10/2000,,,0.02,,,23,35,11,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/11/2000,,,0,,,35,38,32,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/12/2000,,,0,,,25,33,16,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/13/2000,,,0,,,25,34,15,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/14/2000,,,0,,,28,38,18,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/15/2000,,,0.01,,,34,42,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/16/2000,,,0,,,37,41,32,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/17/2000,,,0,,,25,35,14,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/18/2000,,,0.2,,,23,32,13,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/19/2000,,,0,,,31,32,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/20/2000,,,0,,,30,37,23,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/21/2000,,,0,,,29,33,24,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/22/2000,,,0,,,26,29,23,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/23/2000,,,0,,,22,26,18,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/24/2000,,,0.02,,,30,34,25,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/25/2000,,,0.04,,,32,35,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/26/2000,,,0,,,,,,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/27/2000,,,0,,,,,,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/28/2000,,,0,,,,,,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/29/2000,,,0,,,8,18,-3,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/30/2000,,,0,,,5,16,-7,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",1/31/2000,,,0,,,10,22,-3,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/1/2000,,,0,,,25,30,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/2/2000,,,0,,,28,36,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/3/2000,,,0,,,27,39,14,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/4/2000,,,0,,,23,32,13,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/5/2000,,,0.01,,,28,36,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/6/2000,,,0,,,26,36,15,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/7/2000,,,0,,,25,35,14,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/8/2000,,,0,,,28,38,18,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/9/2000,,,0,,,36,39,32,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/10/2000,,,0,,,30,35,25,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/11/2000,,,0,,,32,37,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/12/2000,,,0.02,,,34,35,32,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/13/2000,,,0.02,,,32,35,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/15/2000,,,0,,,35,43,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/16/2000,,,0,,,27,35,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/17/2000,,,0,,,29,38,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/18/2000,,,0,,,24,31,17,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/19/2000,,,0,,,22,32,11,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/20/2000,,,0,,,24,38,10,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/21/2000,,,0,,,41,48,33,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/22/2000,,,0,,,40,45,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/23/2000,,,0,,,37,44,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/24/2000,,,0.01,,,31,34,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/25/2000,,,0.06,,,19,31,7,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/26/2000,,,0,,,19,33,5,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/27/2000,,,0,,,38,44,31,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/28/2000,,,0,,,36,39,33,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",2/29/2000,,,0,,,38,44,31,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/1/2000,,,0,,,37,43,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/2/2000,,,0,,,33,40,25,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/3/2000,,,0,,,31,43,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/4/2000,,,0,,,34,47,21,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/5/2000,,,0.04,,,40,51,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/6/2000,,,0,,,41,51,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/7/2000,,,0,,,35,40,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/8/2000,,,0,,,32,37,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/9/2000,,,0,,,34,38,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/10/2000,,,0,,,32,35,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/11/2000,,,0,,,38,45,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/12/2000,,,0,,,31,43,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/13/2000,,,0,,,37,48,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/14/2000,,,0.01,,,40,52,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/15/2000,,,0,,,32,44,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/16/2000,,,0.02,,,33,48,17,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/17/2000,,,0.04,,,32,36,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/18/2000,,,0,,,31,42,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/19/2000,,,0.12,,,27,39,15,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/20/2000,,,0,,,25,40,10,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/21/2000,,,0,,,29,43,15,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/22/2000,,,0,,,35,50,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/23/2000,,,0,,,36,48,23,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/24/2000,,,0,,,37,55,18,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/25/2000,,,0,,,41,60,21,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/26/2000,,,0,,,47,61,33,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/27/2000,,,0,,,44,62,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/28/2000,,,0.01,,,41,52,30,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/29/2000,,,0,,,33,41,25,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/30/2000,,,0,,,34,48,19,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",3/31/2000,,,0,,,35,50,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/1/2000,,,0,,,35,50,20,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/2/2000,,,0,,,38,47,28,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/3/2000,,,0,,,38,54,21,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/4/2000,,,0,,,50,73,27,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/5/2000,,,0,,,50,62,37,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/6/2000,,,0,,,46,56,35,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/7/2000,,,0,,,39,51,26,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/8/2000,,,0,,,42,63,21,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/9/2000,,,0.05,,,46,58,34,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/10/2000,,,0,,,46,62,29,
USW00094194,"REXBURG MADISON CO AIRPORT, ID US",4/11/2000,,,0,,,48,66,29,
